X,Y
-0.10613273659,16.6190741532
-0.106118627351,16.619173702
-0.106099273887,16.6193208224
-0.106106343983,16.6192709394
-0.106099407165,16.6193198826
-0.106086451848,16.6194183684
-0.1060621258,16.619618762
-0.106115115547,16.619270021
-0.106057143228,16.6197106876
-0.106057137403,16.619710726
-0.106024911754,16.6199556945
-0.106017336886,16.6200055493
-0.106010885621,16.6200545903
-0.105989655235,16.6202043812
-0.105982734988,16.6202532056
-0.106005470162,16.6201035791
-0.105979666386,16.6202997332
-0.105960024052,16.6204383222
-0.105920018742,16.6207678813
-0.105896583392,16.6209332314
-0.105845045014,16.6213250077
-0.105837963378,16.6213749732
-0.105832006409,16.6214240469
-0.105812468967,16.6215725662
-0.105826608789,16.6214728018
-0.105787946244,16.6217667124
-0.105761615467,16.6219668727
-0.105733641469,16.6221642476
-0.105715588336,16.6223129717
-0.105709556398,16.6223626623
-0.105681498495,16.6225606247
-0.105681496252,16.6225606406
-0.105668474163,16.6226596327
-0.105642414505,16.6228577347
-0.105616398874,16.6230554996
-0.105581337457,16.6233028752
-0.105567309497,16.6234018505
-0.105528193996,16.6236992013
-0.10550868363,16.6238475146
-0.10548074209,16.6240446579
-0.105460941757,16.6241951799
-0.105388811237,16.6247893918
-0.10536930226,16.624937698
-0.105362839155,16.6249868297
-0.105329846157,16.6252376349
-0.10530887309,16.625385613
-0.105302371207,16.6254350407
-0.105236610258,16.6260260823
-0.105208181656,16.6262266625
-0.105175661802,16.6264738709
-0.105140659583,16.6267208312
-0.105133636795,16.626770381
-0.105101308875,16.6270161271
-0.105131773399,16.6268156269
-0.105071132695,16.6273606896
-0.105071124189,16.6273607542
-0.105023119795,16.6277615178
-0.119927411694,16.653854672
-0.115086565404,16.6700299487
-0.111168387242,16.6836149991
-0.108318848011,16.6931376008
-0.106904960677,16.7013351699
-0.106190259953,16.7054866535
-0.119080498669,16.7329365262
-0.115124394358,16.7589774335
-0.112641297827,16.7939741761
-0.106943940471,16.8205975679
-0.101710828636,16.8380910923
-0.10359383747,16.8652872975
-0.0992590673432,16.8958818881
-0.0988361247403,16.9348328874
-0.0924139124084,16.9621619972
-0.086707710244,16.9827279137
-0.092271839216,17.0153235279
-0.0852178909005,17.0407389347
-0.0833124421938,17.0675749032
-0.0789491572206,17.0778737817
-0.0763206916381,17.0885777287
-0.0746940546058,17.0952018987
-0.07404273553,17.0978543983
-0.0739234121325,17.0984120675
-0.073897949527,17.0985597023
-0.0737502398274,17.0996018299
-0.0736993312259,17.0998969959
-0.0736352762687,17.1002919151
-0.0735927826268,17.1005382941
-0.0735170396145,17.1010370538
-0.080389364811,17.1188060602
-0.0858166259072,17.1097684561
-0.0897204838708,17.1026347183
-0.0898806817477,17.1053386696
-0.0898793797069,17.1069857565
-0.0899348802333,17.1088859702
-0.0899341223885,17.1098361428
-0.0899265877317,17.110534155
-0.0899258695629,17.1114347369
-0.0899183232689,17.1121336142
-0.0899100216565,17.1125327573
-0.0899030885461,17.1128847435
-0.0977604651949,17.1332011498
-0.0945815515081,17.1505973056
-0.0940049813897,17.1692457046
-0.0925190907123,17.1790279646
-0.0917796747238,17.1851210131
-0.0917763353898,17.1902550146
-0.0996186498909,17.2099457541
-0.0969174122156,17.2290065623
-0.095199296775,17.2459926759
-0.0937044536719,17.2565476674
-0.0966562303823,17.2762065034
-0.0915462483973,17.294611277
-0.08774095817,17.3050119807
-0.0854487185978,17.3152275473
-0.0849929659241,17.3264346712
-0.0959831452523,17.3511096228
-0.0923912725126,17.3707616667
-0.0900216096199,17.3887749587
-0.0880755003718,17.4015845156
-0.0871951276281,17.412454707
-0.0865152120424,17.4172804216
-0.1046927479,17.4451098671
-0.100079708029,17.4624060063
-0.0994682422528,17.4822341985
-0.0978079473557,17.4931613116
-0.096866632339,17.5003185605
-0.0966322355694,17.5060593431
-0.0965394222991,17.5070890295
-0.113308811311,17.534502085
-0.109460118019,17.5582440885
-0.111922196615,17.5938122337
-0.106393313341,17.6137283358
-0.102751785485,17.6279456942
-0.101092104449,17.6428624986
-0.0997797149433,17.652122415
-0.0990933673442,17.6577766342
-0.0988838021495,17.6595031882
-0.0988403606681,17.6600397
-0.0988510655015,17.659888738
-0.0988312564505,17.6602906571
-0.11348639358,17.6853603524
-0.109946264536,17.7027549489
-0.107380260119,17.7196381936
-0.105067661295,17.7279699521
-0.103941670026,17.7353805985
