X,Y
9.05809922508e-08,3.14994880181e-06
9.05965536991e-08,3.1506886659e-06
9.0622643425e-08,3.15153852908e-06
9.06276631152e-08,3.15184246464e-06
9.06533754564e-08,3.15299972153e-06
9.06694992663e-08,3.15379090051e-06
9.06869442086e-08,3.15463148428e-06
9.07015603361e-08,3.15534583343e-06
9.07267784064e-08,3.15616724046e-06
9.07890418969e-08,3.15672094655e-06
9.07332953098e-08,3.15457819884e-06
9.07807462293e-08,3.15670482211e-06
9.08157992083e-08,3.15784366608e-06
9.08246915179e-08,3.15836266848e-06
9.08411770987e-08,3.15914882054e-06
9.08612248602e-08,3.16009278932e-06
9.08684772177e-08,3.1608438348e-06
9.09077679821e-08,3.16214255397e-06
9.09203899637e-08,3.16251658888e-06
9.09437005782e-08,3.16327877474e-06
9.09530597531e-08,3.16375389386e-06
9.0971711336e-08,3.1646200665e-06
9.09833779841e-08,3.16519705412e-06
9.10066347497e-08,3.16595920387e-06
9.10382063202e-08,3.16673955816e-06
9.10486993879e-08,3.16706502399e-06
9.10709259247e-08,3.16779526242e-06
9.10942844066e-08,3.16855718118e-06
9.11146998744e-08,3.1692179312e-06
9.11781504798e-08,3.16983107419e-06
9.11317751006e-08,3.16762905969e-06
9.12154704827e-08,3.16990714106e-06
9.12216103474e-08,3.17013478656e-06
9.12340489677e-08,3.17071951024e-06
9.12628703868e-08,3.17164910847e-06
9.12798017813e-08,3.17220290949e-06
9.12975229984e-08,3.17302412042e-06
9.13133044793e-08,3.17378693921e-06
9.13422086603e-08,3.17472657116e-06
9.13560316025e-08,3.17542386024e-06
9.1331093376e-08,3.17642654174e-06
9.14209667876e-08,3.17882415732e-06
9.140591725e-08,3.17847362651e-06
9.14354948906e-08,3.17984813243e-06
9.14462257314e-08,3.18038761653e-06
9.14598648769e-08,3.18104539518e-06
9.14896510262e-08,3.182038422e-06
9.15024575173e-08,3.18266659478e-06
9.15282511901e-08,3.18351397288e-06
9.15407393936e-08,3.18412451602e-06
9.15653169759e-08,3.18493225225e-06
9.15832729004e-08,3.18550310406e-06
9.16084051746e-08,3.18633096024e-06
9.16317473612e-08,3.18708862864e-06
9.16552700306e-08,3.1878521631e-06
9.16767298199e-08,3.18854607798e-06
9.1690381448e-08,3.18920784916e-06
9.17166407203e-08,3.19006920812e-06
9.17426960816e-08,3.19068620982e-06
9.17480387506e-08,3.19123969879e-06
9.17830944888e-08,3.19240341996e-06
9.17997488952e-08,3.19292516184e-06
9.18273850249e-08,3.19360333716e-06
9.18334865048e-08,3.1937901642e-06
9.18638677132e-08,3.19458094702e-06
9.1885558557e-08,3.19528579891e-06
9.19056709914e-08,3.19621693651e-06
9.19257886762e-08,3.19686648406e-06
9.19466631579e-08,3.19783769933e-06
9.19604766386e-08,3.19852687952e-06
9.19895319685e-08,3.19947586615e-06
9.20019537523e-08,3.20010338185e-06
9.2031595223e-08,3.20107471093e-06
9.20338993978e-08,3.20151723003e-06
9.20577256514e-08,3.20262013928e-06
9.20698321602e-08,3.20322674596e-06
9.21143913631e-08,3.20413435917e-06
9.21118864026e-08,3.20410670134e-06
9.21517123718e-08,3.20544469305e-06
9.21664973503e-08,3.20590531598e-06
9.21841934276e-08,3.20673480787e-06
9.22069351808e-08,3.20779878065e-06
9.22274937289e-08,3.20845036782e-06
9.22473377083e-08,3.20908937578e-06
9.22629066566e-08,3.20983068943e-06
9.22755723067e-08,3.21085524762e-06
9.23058400005e-08,3.21183997681e-06
9.23146002151e-08,3.21230070134e-06
9.23379749664e-08,3.2130679747e-06
9.23487389721e-08,3.2135991472e-06
9.23780815654e-08,3.21457456284e-06
9.23885075877e-08,3.21510094267e-06
9.2412967054e-08,3.21624088685e-06
9.24274754854e-08,3.21695615428e-06
9.24555099857e-08,3.21787405917e-06
9.24656052455e-08,3.21838527549e-06
9.24884032604e-08,3.21945398952e-06
9.25074920039e-08,3.22037298344e-06
9.25226088214e-08,3.22111003992e-06
9.25293524089e-08,3.22178251518e-06
9.25536863725e-08,3.22294080926e-06
9.25922588336e-08,3.22387214067e-06
9.25959638575e-08,3.22408889256e-06
9.26088630402e-08,3.22507255111e-06
9.26183882044e-08,3.22593337352e-06
9.26510668662e-08,3.22701794747e-06
9.26612637903e-08,3.22752034955e-06
9.2673146142e-08,3.22850855283e-06
9.27056085435e-08,3.22958018766e-06
9.27091360861e-08,3.23008180015e-06
9.27334807824e-08,3.23125112476e-06
9.2745370327e-08,3.23182366981e-06
9.27615303682e-08,3.23260047932e-06
9.27824642889e-08,3.23360653446e-06
9.2796535568e-08,3.23428344616e-06
9.28200636093e-08,3.23541397674e-06
9.28525815318e-08,3.23616742778e-06
9.28712915088e-08,3.23675391453e-06
9.28958258933e-08,3.2375613994e-06
9.29133904666e-08,3.23782478071e-06
9.29178376228e-08,3.23795835529e-06
9.2929797765e-08,3.23875458617e-06
9.29563045221e-08,3.23998117957e-06
9.29989317768e-08,3.24060307501e-06
9.29830523081e-08,3.24000258436e-06
9.30179380137e-08,3.24149196128e-06
9.30372706993e-08,3.24210613279e-06
9.30465113664e-08,3.24257646902e-06
9.30782888202e-08,3.24362947675e-06
9.30836304921e-08,3.24425987557e-06
9.31243975361e-08,3.24529534593e-06
9.31320974505e-08,3.24571731099e-06
9.31515797818e-08,3.24662496288e-06
9.31627259232e-08,3.24718174227e-06
9.31949245617e-08,3.2482518178e-06
9.32000579653e-08,3.24855083378e-06
9.3232140205e-08,3.2496250431e-06
9.324629253e-08,3.25032243618e-06
9.32606464221e-08,3.25101742053e-06
9.32784828855e-08,3.2518666472e-06
9.33065287655e-08,3.25278436052e-06
9.33320332172e-08,3.25360745319e-06
9.3346635066e-08,3.25431986579e-06
9.3371743573e-08,3.25513846114e-06
9.3387431654e-08,3.2556313864e-06
9.33969587192e-08,3.25641637118e-06
9.34284694466e-08,3.25788477505e-06
9.34328800836e-08,3.25815302139e-06
9.34565793099e-08,3.25893733361e-06
9.34842193055e-08,3.25984683709e-06
9.35064385864e-08,3.26056033005e-06
9.35279474687e-08,3.261255397e-06
9.35502595135e-08,3.26198006609e-06
9.35694433338e-08,3.26288452189e-06
9.36125107771e-08,3.26396704073e-06
9.36100702348e-08,3.26416068748e-06
9.36502832774e-08,3.26551231374e-06
9.36549766943e-08,3.26580643112e-06
9.36868702945e-08,3.26686898928e-06
9.36933121218e-08,3.26755973269e-06
9.37255248029e-08,3.26862474987e-06
9.3745406573e-08,3.26958259557e-06
9.37654979444e-08,3.27055012312e-06
9.37860674971e-08,3.27119634523e-06
9.37991761229e-08,3.27183438311e-06
9.38215081436e-08,3.27288383347e-06
9.38604412489e-08,3.27417147112e-06
9.38652710996e-08,3.2744634643e-06
9.38963700781e-08,3.275503565e-06
9.38991258362e-08,3.27594876651e-06
