X,Y
-0.512230109606,-1.4957474516
-0.517939421491,-1.49551448308
-0.520027956688,-1.49609730152
-0.525463436865,-1.49598427036
-0.52710054655,-1.49628218349
-0.53222537547,-1.49612435752
-0.537366361715,-1.49596602631
-0.538429694812,-1.49613571249
-0.543237659257,-1.49598762132
-0.541590412196,-1.4945265527
-0.545850123085,-1.4943526993
-0.550098607369,-1.49417930058
-0.553332906355,-1.48906231587
-0.557366826758,-1.48889764981
-0.55970913751,-1.48113108881
-0.563525763873,-1.48097525583
-0.567317879411,-1.48082042988
-0.566713307368,-1.47268825036
-0.570121932571,-1.47261727172
-0.568034228997,-1.46577597742
-0.570947983309,-1.46565694885
-0.573796977055,-1.46554057917
-0.570424368695,-1.45975850554
-0.572737945295,-1.45966397856
-0.564167661632,-1.45525282776
-0.565614129082,-1.45519368061
-0.566937354403,-1.45513959361
-0.558712890064,-1.44975344216
-0.55923737003,-1.44973193485
-0.549831745125,-1.44372753518
-0.549491582844,-1.4437413046
-0.549004562638,-1.4437562134
-0.54126841567,-1.43862512053
-0.540052766284,-1.43866245425
-0.531689026793,-1.43282164423
-0.529720333239,-1.43288217545
-0.527606630274,-1.43296834973
-0.522919323574,-1.42280996033
-0.520322302102,-1.42291582293
-0.514799161418,-1.41283888922
-0.511703389593,-1.41296508261
-0.508411290054,-1.41306637474
-0.506964003236,-1.40091610289
-0.503446954563,-1.40105948541
-0.503187954934,-1.38909989627
-0.499532593669,-1.389212293
-0.495755265897,-1.389328515
-0.495901887427,-1.37416585897
-0.492029643219,-1.3743236825
-0.49279031806,-1.35807600149
-0.488937631311,-1.35823298596
-0.484912106692,-1.35835679069
-0.486054397162,-1.33948192869
-0.482079171606,-1.33964389531
-0.485386104723,-1.31668610471
-0.481675001798,-1.31687442726
-0.47779323537,-1.31703257734
-0.480938039808,-1.29254842195
-0.477284810344,-1.29266060745
-0.480570813035,-1.27026749553
-0.477140382741,-1.2704071008
-0.473636986993,-1.27054976846
-0.471601408467,-1.24703167305
-0.468023941601,-1.2471772789
-0.464648891606,-1.22406724559
-0.460947411301,-1.22421787893
-0.457092412749,-1.22433626565
-0.454879686813,-1.19981056326
-0.450996466304,-1.19996862525
-0.447340236352,-1.17430439368
-0.443313418098,-1.17446826359
-0.439181196078,-1.17463652096
-0.43691893151,-1.14782725683
-0.432749504715,-1.1479969503
-0.434032331384,-1.11994561729
-0.430100316158,-1.12010556256
-0.42606672921,-1.12022938064
-0.42523263527,-1.09164730409
-0.421305018562,-1.09180709369
-0.418666313958,-1.06275192008
-0.414717917188,-1.06291250516
-0.410706327188,-1.06307577468
-0.409323002566,-1.03331592744
-0.405376462724,-1.03343694889
-0.402321408367,-1.00346192638
-0.398323098929,-1.00362450465
-0.394293132341,-1.00378849782
-0.392547911647,-0.973342294289
-0.388585802443,-0.973503430964
-0.385651415557,-0.944537036586
-0.381653749541,-0.944699555706
-0.377638345652,-0.944822761726
-0.373521891057,-0.915415683246
-0.369426072359,-0.915418561858
-0.366796062283,-0.885481167416
-0.362738151341,-0.885605544125
-0.358635271019,-0.88577247477
-0.357263702707,-0.855299925595
-0.353257654049,-0.855422817069
-0.350705746317,-0.826495916246
-0.346768625403,-0.826655989388
-0.342786814854,-0.826857886151
-0.339057477921,-0.797372210011
-0.334987279381,-0.795450107731
-0.332109997089,-0.749671329416
-0.327507054842,-0.722238114269
-0.324102936311,-0.687982810564
-0.307890909611,-0.620446150633
-0.301173460085,-0.58065868877
-0.288814995928,-0.510429030897
-0.27907659388,-0.469748025005
-0.274260237865,-0.427708981679
-0.252709672909,-0.367158909398
-0.242776765943,-0.334548111374
-0.234953163837,-0.279005423673
-0.224656404804,-0.243792224863
-0.209226151391,-0.212051557894
-0.200041248697,-0.160766125839
-0.188462826333,-0.141057277354
-0.179837373144,-0.102851660416
-0.170212575097,-0.0920904010761
-0.168231034427,-0.0734154338181
-0.155061759761,-0.016856062589
-0.145206813239,0.0167247819961
-0.125513577364,0.0717284989163
-0.112185817506,0.0966448563114
-0.099918573083,0.115227593638
-0.0929897832357,0.153396712263
-0.083386318289,0.162102595757
-0.0776679818315,0.19169926036
-0.0698626522924,0.192681466533
-0.0624532373831,0.191403705192
-0.0585175598917,0.219177299917
-0.055775491345,0.235070692171
-0.04117992216,0.279523405397
-0.0273716250927,0.296326596066
-0.0156542217815,0.307740870657
-0.00769559016803,0.335152120535
0.000348286941166,0.339235346297
0.00738829527945,0.354981014409
0.014925234097,0.353984100349
0.0227464550615,0.355455231153
0.0252025939346,0.390858031216
0.031818302441,0.419076284909
0.0497557679066,0.459581331483
0.0595944849775,0.482175369734
0.0715163370457,0.496843007624
0.0806035462363,0.519383047173
0.0896122102478,0.52478462949
0.0966233602789,0.537823772506
